"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"E07A_S55_L001_R1_001"	23898	23885	23885	23885	23696	23693	"deVries"
"E07B_S151_L001_R1_001"	22915	22907	22907	22907	22797	22791	"deVries"
"E08A_S56_L001_R1_001"	26703	26685	26685	26685	26454	26440	"deVries"
"E08B_S152_L001_R1_001"	23805	23785	23785	23785	23688	23688	"deVries"
"E08C_S248_L001_R1_001"	14821	14801	14801	14801	14656	14656	"deVries"
"E09C_S249_L001_R1_001"	26110	26101	26101	26101	25982	25982	"deVries"
"E10C_S250_L001_R1_001"	13163	13153	13153	13153	13122	13101	"deVries"
"E11C_S251_L001_R1_001"	16178	16167	16167	16167	16154	16152	"deVries"
"F01A_S61_L001_R1_001"	26846	26827	26827	26827	26675	26673	"deVries"
"F01B_S157_L001_R1_001"	16121	16112	16112	16112	16006	16004	"deVries"
"F01C_S253_L001_R1_001"	13528	13521	13521	13521	13459	13459	"deVries"
"F01D_S349_L001_R1_001"	29678	29661	29661	29661	29461	29457	"deVries"
"F02A_S62_L001_R1_001"	4367	4367	4367	4367	4344	4344	"deVries"
"F02B_S158_L001_R1_001"	4219	4214	4214	4214	4214	4214	"deVries"
"F02C_S254_L001_R1_001"	10601	10594	10594	10594	10579	10579	"deVries"
"F02D_S350_L001_R1_001"	22314	22301	22301	22301	22171	22164	"deVries"
"F03A_S63_L001_R1_001"	16497	16488	16488	16488	16424	16416	"deVries"
"F03B_S159_L001_R1_001"	21875	21865	21865	21865	21668	21666	"deVries"
"F03C_S255_L001_R1_001"	15327	15320	15320	15320	15287	15280	"deVries"
"F03D_S351_L001_R1_001"	26620	26600	26600	26600	26383	26372	"deVries"
"F04C_S256_L001_R1_001"	18184	18172	18172	18172	18086	18066	"deVries"
"F04D_S352_L001_R1_001"	24369	24352	24352	24352	24209	24161	"deVries"
"F05A_S65_L001_R1_001"	24697	24683	24683	24683	24593	24588	"deVries"
"F05B_S161_L001_R1_001"	19065	19054	19054	19054	18925	18920	"deVries"
"F05C_S257_L001_R1_001"	18241	18227	18227	18227	18142	18142	"deVries"
"F05D_S353_L001_R1_001"	25803	25790	25790	25790	25648	25638	"deVries"
"F06A_S66_L001_R1_001"	15535	15526	15526	15526	15444	15444	"deVries"
"F06B_S162_L001_R1_001"	27719	27699	27699	27699	27402	27393	"deVries"
"F06C_S258_L001_R1_001"	15492	15485	15485	15485	15441	15435	"deVries"
"F06D_S354_L001_R1_001"	29841	29821	29821	29821	29533	29528	"deVries"
"F07A_S67_L001_R1_001"	21125	21108	21108	21108	20961	20961	"deVries"
"F07B_S163_L001_R1_001"	25133	25115	25115	25115	24904	24902	"deVries"
"F08A_S68_L001_R1_001"	22599	22588	22588	22588	22383	22381	"deVries"
"F08B_S164_L001_R1_001"	14308	14297	14297	14297	14219	14219	"deVries"
"F08C_S260_L001_R1_001"	28527	28504	28504	28504	28406	28400	"deVries"
"F09C_S261_L001_R1_001"	17616	17599	17599	17599	17541	17536	"deVries"
"F10C_S262_L001_R1_001"	15572	15558	15558	15558	15479	15474	"deVries"
"F11C_S263_L001_R1_001"	26033	26023	26023	26023	25874	25872	"deVries"
"G01A_S73_L001_R1_001"	25702	25681	25681	25681	25477	25475	"deVries"
"G01B_S169_L001_R1_001"	15509	15499	15499	15499	15446	15446	"deVries"
"G01C_S265_L001_R1_001"	13411	13399	13399	13399	13355	13355	"deVries"
"G01D_S361_L001_R1_001"	18437	18427	18427	18427	18257	18257	"deVries"
"G02B_S170_L001_R1_001"	3515	3514	3514	3514	3514	3514	"deVries"
"G02C_S266_L001_R1_001"	8477	8469	8469	8469	8469	8469	"deVries"
"G02D_S362_L001_R1_001"	12663	12652	12652	12652	12585	12585	"deVries"
"G03A_S75_L001_R1_001"	8247	8240	8240	8240	8223	8223	"deVries"
"G03B_S171_L001_R1_001"	9637	9632	9632	9632	9586	9586	"deVries"
"G03C_S267_L001_R1_001"	12728	12722	12722	12722	12704	12704	"deVries"
"G03D_S363_L001_R1_001"	33091	33070	33070	33070	32744	32740	"deVries"
"G04C_S268_L001_R1_001"	13920	13906	13906	13906	13857	13857	"deVries"
"G04D_S364_L001_R1_001"	20961	20949	20949	20949	20723	20716	"deVries"
"G05A_S77_L001_R1_001"	4048	4046	4046	4046	4046	4046	"deVries"
"G05B_S173_L001_R1_001"	24308	24290	24290	24290	24086	24082	"deVries"
"G05C_S269_L001_R1_001"	24192	24180	24180	24180	23896	23891	"deVries"
"G05D_S365_L001_R1_001"	27139	27124	27124	27124	26869	26869	"deVries"
"G06A_S78_L001_R1_001"	21325	21311	21311	21311	21038	21038	"deVries"
"G06B_S174_L001_R1_001"	6745	6743	6743	6743	6732	6732	"deVries"
