"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR2044548_1"	35289	35286	35286	35286	34572	34572	"Seekatz"
"SRR2044549_1"	58181	58173	58173	58173	57615	57615	"Seekatz"
"SRR2044550_1"	55962	55959	55959	55959	55531	55531	"Seekatz"
"SRR2044551_1"	29778	29777	29777	29777	29588	29588	"Seekatz"
"SRR2044552_1"	28475	28474	28474	28474	28349	28349	"Seekatz"
"SRR2044553_1"	42953	42952	42952	42952	42854	42854	"Seekatz"
"SRR2044554_1"	23005	23003	23003	23003	23003	23003	"Seekatz"
"SRR2044555_1"	25288	25288	25288	25288	25218	25218	"Seekatz"
"SRR2044556_1"	25369	25366	25366	25366	25366	25366	"Seekatz"
"SRR2044557_1"	36671	36668	36668	36668	36215	36215	"Seekatz"
"SRR2044558_1"	33148	33143	33143	33143	32958	32958	"Seekatz"
"SRR2044559_1"	38668	38667	38667	38667	38551	38551	"Seekatz"
"SRR2044560_1"	35505	35500	35500	35500	35373	35373	"Seekatz"
"SRR2044561_1"	10377	10377	10377	10377	10377	10377	"Seekatz"
"SRR2044562_1"	44944	44942	44942	44942	44741	44741	"Seekatz"
"SRR2044563_1"	20695	20693	20693	20693	20664	20664	"Seekatz"
"SRR2044564_1"	34412	34410	34410	34410	34322	34322	"Seekatz"
"SRR2044565_1"	31547	31545	31545	31545	31335	31335	"Seekatz"
"SRR2044566_1"	39417	39413	39413	39413	38979	38979	"Seekatz"
"SRR2044567_1"	46567	46561	46561	46561	46195	46195	"Seekatz"
"SRR2044568_1"	32611	32610	32610	32610	32432	32432	"Seekatz"
"SRR2044569_1"	41012	41008	41008	41008	40710	40710	"Seekatz"
"SRR2044570_1"	18498	18497	18497	18497	18448	18448	"Seekatz"
"SRR2044571_1"	47174	47171	47171	47171	46906	46906	"Seekatz"
"SRR2044572_1"	19516	19513	19513	19513	19513	19513	"Seekatz"
"SRR2044573_1"	55409	55401	55401	55401	55021	55021	"Seekatz"
"SRR2044574_1"	78272	78237	78237	78237	78237	73048	"Seekatz"
"SRR2044575_1"	51892	51889	51889	51889	51889	51889	"Seekatz"
"SRR2044576_1"	39753	39753	39753	39753	39753	39753	"Seekatz"
"SRR2044577_1"	40565	40562	40562	40562	40173	40171	"Seekatz"
"SRR2044578_1"	42348	42347	42347	42347	42347	42345	"Seekatz"
"SRR2044579_1"	35657	35656	35656	35656	35656	35656	"Seekatz"
"SRR2044580_1"	36251	36251	36251	36251	36167	36167	"Seekatz"
"SRR2044581_1"	44318	44315	44315	44315	44078	44078	"Seekatz"
"SRR2044582_1"	49164	49160	49160	49160	48580	48580	"Seekatz"
"SRR2044583_1"	55728	55723	55723	55723	55489	55489	"Seekatz"
"SRR2044584_1"	54114	54094	54094	54094	54069	54052	"Seekatz"
"SRR2044585_1"	45577	45575	45575	45575	45575	45575	"Seekatz"
"SRR2044586_1"	41475	41473	41473	41473	41473	41473	"Seekatz"
"SRR2044587_1"	40850	40847	40847	40847	40715	40715	"Seekatz"
"SRR2044588_1"	52533	52529	52529	52529	52529	52527	"Seekatz"
"SRR2044589_1"	40394	40393	40393	40393	40393	40393	"Seekatz"
"SRR2044590_1"	38583	38583	38583	38583	38516	38516	"Seekatz"
