"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"Ines-Groeningen-E7-5_S97_L001_R1_001"	63121	63033	63033	63033	58621	58038	"Jurburg_microcosm"
"Ines-Groeningen-E8-1_S105_L001_R1_001"	20240	19467	19467	19467	19387	19219	"Jurburg_microcosm"
"Ines-Groeningen-E8-2_S113_L001_R1_001"	67673	67587	67587	67587	63441	63277	"Jurburg_microcosm"
"Ines-Groeningen-E8-3_S121_L001_R1_001"	46905	46831	46831	46831	44492	44426	"Jurburg_microcosm"
"Ines-Groeningen-E8-4_S129_L001_R1_001"	65221	65046	65046	65046	63040	62052	"Jurburg_microcosm"
"Ines-Groeningen-E8-5_S137_L001_R1_001"	81829	81715	81715	81715	77806	77422	"Jurburg_microcosm"
"Ines-Groeningen-E9-1_S145_L001_R1_001"	7762	7479	7479	7479	7479	7467	"Jurburg_microcosm"
"Ines-Groeningen-E9-2_S153_L001_R1_001"	49114	49035	49035	49035	46424	45925	"Jurburg_microcosm"
"Ines-Groeningen-E9-3_S161_L001_R1_001"	68723	68615	68615	68615	64260	63818	"Jurburg_microcosm"
"Ines-Groeningen-E9-4_S169_L001_R1_001"	24011	23952	23952	23952	23274	22930	"Jurburg_microcosm"
"Ines-Groeningen-E9-5_S177_L001_R1_001"	48613	48543	48543	48543	46539	46025	"Jurburg_microcosm"
"Ines-Groeningen-F11-1_S190_L001_R1_001"	6210	5935	5935	5935	5900	5781	"Jurburg_microcosm"
"Ines-Groeningen-F11-2_S103_L001_R1_001"	90822	90667	90667	90667	86535	85600	"Jurburg_microcosm"
"Ines-Groeningen-F11-3_S111_L001_R1_001"	7533	7213	7213	7213	7213	7131	"Jurburg_microcosm"
"Ines-Groeningen-F11-4_S119_L001_R1_001"	55321	55216	55216	55216	52547	52487	"Jurburg_microcosm"
"Ines-Groeningen-F11-5_S127_L001_R1_001"	62627	62469	62469	62469	58932	58869	"Jurburg_microcosm"
"Ines-Groeningen-F12-1_S135_L001_R1_001"	24014	23954	23954	23954	23363	23339	"Jurburg_microcosm"
"Ines-Groeningen-F12-2_S143_L001_R1_001"	44242	44177	44177	44177	43282	42804	"Jurburg_microcosm"
"Ines-Groeningen-F12-3_S151_L001_R1_001"	2132	1985	1985	1985	1985	1985	"Jurburg_microcosm"
"Ines-Groeningen-F12-4_S159_L001_R1_001"	45628	45557	45557	45557	44095	44073	"Jurburg_microcosm"
"Ines-Groeningen-F12-5_S167_L001_R1_001"	45043	44922	44922	44922	42884	42718	"Jurburg_microcosm"
"Ines-Groeningen-F13-1_S175_L001_R1_001"	16075	16030	16030	16030	15774	15711	"Jurburg_microcosm"
"Ines-Groeningen-F13-2_S183_L001_R1_001"	80777	80671	80671	80671	74183	74095	"Jurburg_microcosm"
"Ines-Groeningen-F13-3_S191_L001_R1_001"	13478	13129	13129	13129	12249	12240	"Jurburg_microcosm"
"Ines-Groeningen-F13-4_S104_L001_R1_001"	98180	98056	98056	98056	90356	89981	"Jurburg_microcosm"
"Ines-Groeningen-F13-5_S112_L001_R1_001"	11427	10951	10951	10951	10951	10911	"Jurburg_microcosm"
"Ines-Groeningen-F14-1_S120_L001_R1_001"	115344	115215	115215	115215	105509	103864	"Jurburg_microcosm"
"Ines-Groeningen-F14-2_S128_L001_R1_001"	36262	36206	36206	36206	34381	34273	"Jurburg_microcosm"
"Ines-Groeningen-F14-3_S136_L001_R1_001"	42659	42570	42570	42570	41181	40404	"Jurburg_microcosm"
"Ines-Groeningen-F14-4_S144_L001_R1_001"	97783	97647	97647	97647	91318	91059	"Jurburg_microcosm"
"Ines-Groeningen-F14-5_S152_L001_R1_001"	11175	10709	10709	10709	10709	10573	"Jurburg_microcosm"
