"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SW-D7-6_S69_L001_R1_001.fastq"	129034	128989	128989	128989	128866	128743	"Flancman"
"SW-D7-7_S81_L001_R1_001.fastq"	107006	106984	106984	106984	106984	106946	"Flancman"
"SW-D7-8_S93_L001_R1_001.fastq"	125744	125710	125710	125710	125604	125555	"Flancman"
"SW-D7-9_S10_L001_R1_001.fastq"	97099	97081	97081	97081	96996	96902	"Flancman"
"SW-Pre-10_S14_L001_R1_001.fastq"	181365	181293	181293	181293	181105	180279	"Flancman"
"SW-Pre-11_S26_L001_R1_001.fastq"	137258	137202	137202	137202	136972	136587	"Flancman"
"SW-Pre-12_S38_L001_R1_001.fastq"	126514	126445	126445	126445	126393	126048	"Flancman"
"SW-Pre-13_S50_L001_R1_001.fastq"	128258	128194	128194	128194	128150	127710	"Flancman"
"SW-Pre-14_S62_L001_R1_001.fastq"	121714	121674	121674	121674	120686	120550	"Flancman"
"SW-Pre-15_S74_L001_R1_001.fastq"	125773	125712	125712	125712	125651	124861	"Flancman"
"SW-Pre-16_S86_L001_R1_001.fastq"	108263	108230	108230	108230	108048	107705	"Flancman"
"SW-Pre-17_S3_L001_R1_001.fastq"	130862	130798	130798	130798	130798	130690	"Flancman"
"SW-Pre-18_S15_L001_R1_001.fastq"	164743	164653	164653	164653	164590	164089	"Flancman"
"SW-Pre-19_S27_L001_R1_001.fastq"	144598	144541	144541	144541	143824	143546	"Flancman"
"SW-Pre-1_S1_L001_R1_001.fastq"	121291	121156	121156	121156	121012	119768	"Flancman"
"SW-Pre-20_S39_L001_R1_001.fastq"	132664	132591	132591	132591	132448	131583	"Flancman"
"SW-Pre-21_S51_L001_R1_001.fastq"	187281	187211	187211	187211	186786	186236	"Flancman"
"SW-Pre-22_S63_L001_R1_001.fastq"	122817	122761	122761	122761	122683	122267	"Flancman"
"SW-Pre-23_S75_L001_R1_001.fastq"	108399	108350	108350	108350	107685	106944	"Flancman"
"SW-Pre-24_S87_L001_R1_001.fastq"	94620	94603	94603	94603	94497	94444	"Flancman"
"SW-Pre-25_S4_L001_R1_001.fastq"	188497	188417	188417	188417	184024	183757	"Flancman"
"SW-Pre-26_S16_L001_R1_001.fastq"	164496	164431	164431	164431	163214	163007	"Flancman"
"SW-Pre-27_S28_L001_R1_001.fastq"	169990	169920	169920	169920	169532	169341	"Flancman"
"SW-Pre-28_S40_L001_R1_001.fastq"	176591	176538	176538	176538	176176	175943	"Flancman"
"SW-Pre-29_S52_L001_R1_001.fastq"	285853	285780	285780	285780	285531	285092	"Flancman"
"SW-Pre-2_S13_L001_R1_001.fastq"	168776	168702	168702	168702	168188	167091	"Flancman"
"SW-Pre-30_S64_L001_R1_001.fastq"	89742	89685	89685	89685	89214	89003	"Flancman"
"SW-Pre-31_S76_L001_R1_001.fastq"	98347	98294	98294	98294	98245	97946	"Flancman"
"SW-Pre-32_S88_L001_R1_001.fastq"	104314	104260	104260	104260	103790	103069	"Flancman"
"SW-Pre-3_S25_L001_R1_001.fastq"	139040	138987	138987	138987	138750	138072	"Flancman"
"SW-Pre-4_S37_L001_R1_001.fastq"	120583	120536	120536	120536	120337	119912	"Flancman"
"SW-Pre-5_S49_L001_R1_001.fastq"	140983	140923	140923	140923	140570	140200	"Flancman"
"SW-Pre-6_S61_L001_R1_001.fastq"	118059	118021	118021	118021	117874	117518	"Flancman"
"SW-Pre-7_S73_L001_R1_001.fastq"	130535	130462	130462	130462	130232	129781	"Flancman"
"SW-Pre-8_S85_L001_R1_001.fastq"	106605	106558	106558	106558	106413	105970	"Flancman"
"SW-Pre-9_S2_L001_R1_001.fastq"	130140	130056	130056	130056	129283	128542	"Flancman"
